programmer_friendly_names,user_friendly_names
Qual_KS2Read_Propranks,LA Rank Primary percentage places added in Well Above and Above Average Schools  (Reading progress)
KS2Read_WAA_E,Primary existing places in Well Above Average Schools (Reading progress)
KS2Read_AA_E,Primary existing places in Above Average Schools (Reading progress)
KS2Read_A_E,Primary existing places in Average Schools (Reading progress)
KS2Read_BA_E,Primary existing places in below average schools  (Reading progress)
KS2Read_WBA_E,Primary existing places in Well Below Average schools  (Reading progress)
KS2Read_NR_E,Primary existing places in schools with no rating  (Reading progress)
CPP_P_EP,Primary Permanent Expansion cost per place
CPP_P_ET,Primary Temporary Expansion cost per place
CPP_P_NS,Primary New School cost per place
CPP_S_EP,Secondary Permanent Expansion cost per place
CPP_S_ET,Secondary Temporary Expansion cost per place
CPP_S_NS,Secondary New School cost per place
Projects_P_EP,Primary Number of Permanent Expansion
Projects_P_Et,Primary Number of Temporary Expansion
Projects_P_NS,Primary Number of New Schools
Projects_S_EP,Secondary Number of Permanent Expansion
Projects_S_ET,Secondary Number of Temporary Expansion
Projects_S_NS,Secondary Number of New Schools
Cost_P_EP,Primary Permanent Expansion total costs
Places_P_EP,Primary Permanent Expansion places created
Cost_P_ET,Primary Temporary Expansion total costs
Places_P_ET,Primary Temporary Expansion places created
Cost_P_NS,Primary New School total costs
Places_P_NS,Primary New Schools places created
Cost_S_EP,Secondary Permanent Expansion total costs
Places_S_EP,Secondary Permanent Expansion places created
Cost_S_ET,Secondary Temporary Expansion total costs
Places_S_ET,Secondary Temporary Expansion places created
Cost_S_NS,Secondary New School total costs
Places_S_NS,Secondary New Schools places created
Pref_P_1_CY,Primary Preference 1st choice Sept 2022 entry
Pref_P_2_CY,Primary Preference 2nd choice Sept 2022 entry
Pref_P_3_CY,Primary Preference 3rd choice Sept 2022 entry
Pref_S_1_CY,Secondary Preference 1st choice Sept 2022 entry
Pref_S_2_CY,Secondary Preference 2nd choice Sept 2022 entry
Pref_S_3_CY,Secondary Preference 3rd choice Sept 2022 entry
Pref_P_T3_CY,Primary Preference 1 to 3 choice total Sept 2022 entry
Pref_S_T3_CY,Secondary Preference 1 to 3 choice total Sept 2022 entry
Pref_P_1_NY,Primary Preference 1st choice Sept 2023 entry
Pref_P_2_NY,Primary Preference 2nd choice Sept 2023 entry
Pref_P_3_NY,Primary Preference 3rd choice Sept 2023 entry
Pref_S_1_NY,Secondary Preference 1st choice Sept 2023 entry
Pref_S_2_NY,Secondary Preference 2nd choice Sept 2023 entry
Pref_S_3_NY,Secondary Preference 3rd choice Sept 2023 entry
Pref_P_T3_NY,Primary Preference 1 to 3 choice total Sept 2023 entry
Pref_S_T3_NY,Secondary Preference 1 to 3 choice total Sept 2023 entry
