LA_name,LANumber,Region,For_2_P,For_1_P,For_2_S,For_1_S,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_Su,Quan_S_Su,Quan_P_PP,Quan_S_PP,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_P_Prop,Qual_P_Propranks,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,Qual_S_Prop,Qual_S_Propranks,CPP_P_EP,CPP_P_ET,CPP_P_NS,CPP_S_EP,CPP_S_ET,CPP_S_NS,Projects_P_EP,Projects_P_ET,Projects_P_NS,Projects_S_EP,Projects_S_ET,Projects_S_NS,Cost_P_EP,Places_P_EP,Cost_P_ET,Places_P_ET,Cost_P_NS,Places_P_NS,Cost_S_EP,Places_S_EP,Cost_S_ET,Places_S_ET,Cost_S_NS,Places_S_NS,Ban_P_gro,Ban_S_gro,Funding,Pref_P_1_CY,Pref_P_2_CY,Pref_P_3_CY,Pref_S_1_CY,Pref_S_2_CY,Pref_S_3_CY,Pref_P_T3_CY,Pref_S_T3_CY,Pref_P_1_NY,Pref_P_2_NY,Pref_P_3_NY,Pref_S_1_NY,Pref_S_2_NY,Pref_S_3_NY,Pref_P_T3_NY,Pref_S_T3_NY,Quan_P_UP,Quan_S_UP,An_P_gro,An_S_gro
Southwark,210,Inner London,0.057515481,9.38E-05,-0.027872367,-0.001387312,4580,6649,0,0,0.263087732,0.122685944,0,0,0,30,0,0,0,7080,18080,1890,0,420,1,1,499,0,0,0,900,10097,8825,0,0,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.013026251,0.357647653,70111011.33,87.88853162,7.038227939,2.357984995,64.82118294,13.37689133,7.015130674,97.28474455,85.21320495,13.37689133,7.015130674,97.28474455,85.21320495,87.88853162,7.038227939,2.357984995,64.82118294,0.122685944,0.263087732,0.357647653,0.013026251
Tower Hamlets,211,Inner London,-0.016850817,-0.01732008,0.006441656,-0.002080118,4102,5688,0,0,0.144411331,0.075058011,644,90,0,0,0,0,0,7380,18160,564,0,0,z,z,0,631,0,0,0,9219,10228,0,600,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.119589142,0.181917381,88122700.51,88.32252085,5.251776336,1.760889713,68.49874372,13.5678392,6.407035176,95.3351869,88.47361809,13.5678392,6.407035176,95.3351869,88.47361809,88.32252085,5.251776336,1.760889713,68.49874372,0.075058011,0.144411331,0.181917381,0.119589142
Wandsworth,212,Inner London,0.079933911,0.032190064,0.059555821,0.010457126,6577,1930,0,0,0.211244049,0.142956177,0,300,158,0,0,0,420,7680,13465,1259,0,0,1,1,150,350,0,0,0,4600,8775,1260,0,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.175947829,0.135232877,62118843.54,82.49452954,7.768052516,3.792851933,60.00851789,16.60988075,7.453151618,94.05543399,84.07155026,16.60988075,7.453151618,94.05543399,84.07155026,82.49452954,7.768052516,3.792851933,60.00851789,0.142956177,0.211244049,0.135232877,0.175947829
Westminster,213,Inner London,0.041012716,-0.009279413,0.023616809,0.018627342,0,3539,0,130,0.258904467,0.018182836,0,0,330,0,0,0,0,3790,6313,1050,0,0,1,1,530,50,0,0,0,7927,3170,0,0,550,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,-0.170888542,0.32726503,36922358.62,86.31111111,6.577777778,2.844444444,66.35249764,14.60885957,6.786050895,95.73333333,87.74740811,14.60885957,6.786050895,95.73333333,87.74740811,86.31111111,6.577777778,2.844444444,66.35249764,0.018182836,0.258904467,0.32726503,-0.170888542
Barking and Dagenham,301,Outer London,0.082045818,0.021146674,0.051847515,0.013791309,8711,12625,70,0,0.159280097,0.213476993,0,0,0,630,0,0,0,3000,23548,2580,0,0,1,1,0,1576,0,0,0,2088,17555,2641,0,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.411976587,0.506220625,201979789.4,94.44089457,3.706070288,0.702875399,79.46940006,10.15978294,3.738317757,98.84984026,93.36750075,10.15978294,3.738317757,98.84984026,93.36750075,94.44089457,3.706070288,0.702875399,79.46940006,0.213476993,0.159280097,0.506220625,0.411976587
Barnet,302,Outer London,0.031953498,-0.007324777,-0.002645269,-0.013005908,6120,8439,20,0,0.115934697,0.096336119,0,285,0,0,0,0,0,10470,20315,2098,0,0,z,z,39,587,0,0,900,9544,18339,0,0,1647,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.196450529,0.360287617,112535333.2,82.90091426,7.610575735,2.866320731,70.43135436,13.26530612,5.310760668,93.37781072,89.00742115,13.26530612,5.310760668,93.37781072,89.00742115,82.90091426,7.610575735,2.866320731,70.43135436,0.096336119,0.115934697,0.360287617,0.196450529
Bexley,303,Outer London,0.049931098,0.015847497,0.053919459,0.020104519,4805,1278,0,0,0.114690251,0.103919485,0,0,0,390,0,0,0,3128,18375,1470,0,656,1,1,0,0,0,0,0,4430,9294,5415,0,0,z,z,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.133139475,0.024167331,57825284.17,92.88762447,4.800853485,1.102418208,64.49228792,13.75321337,8.515424165,98.79089616,86.76092545,13.75321337,8.515424165,98.79089616,86.76092545,92.88762447,4.800853485,1.102418208,64.49228792,0.103919485,0.114690251,0.024167331,0.133139475
Brent,304,Outer London,0.059014833,-0.005393829,0.055497123,-0.001732352,7506,5764,0,60,0.179755327,0.126699284,0,0,88,71,0,0,0,6661,21492,1466,0,0,1,1,0,0,0,0,900,6231,13918,0,2165,0,z,z,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.130233823,0.160738184,184006326.4,83.36236934,9.175377468,2.671312427,65.65850976,14.65493539,6.406378884,95.20905923,86.71982403,14.65493539,6.406378884,95.20905923,86.71982403,83.36236934,9.175377468,2.671312427,65.65850976,0.126699284,0.179755327,0.160738184,0.130233823
Bromley,305,Outer London,0.017852561,-0.004582279,0.046398046,0.007379094,6543,5229,0,0,0.118812521,0.086540835,420,150,30,372,0,0,0,8632,20925,420,0,0,1,1,303,478,0,0,0,7773,13775,1601,1400,2580,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.172373692,0.139958497,80010688.32,88.32214765,6.523489933,2.362416107,68.73876188,12.45825841,5.676855895,97.20805369,86.87387619,12.45825841,5.676855895,97.20805369,86.87387619,88.32214765,6.523489933,2.362416107,68.73876188,0.086540835,0.118812521,0.139958497,0.172373692
Croydon,306,Outer London,0.062943742,0.006972524,0.062724583,-0.008719087,10368,7070,20,40,0.204411039,0.179759812,0,0,0,26,0,0,0,8439,25322,2621,630,0,1,1,0,60,0,0,900,9029,14287,2985,0,1680,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.142820718,0.091952093,214034544.3,85.35330948,8.698568873,2.459749553,60.51446945,15.51982851,7.867095391,96.51162791,83.90139335,15.51982851,7.867095391,96.51162791,83.90139335,85.35330948,8.698568873,2.459749553,60.51446945,0.179759812,0.204411039,0.091952093,0.142820718
Ealing,307,Outer London,0.030230847,-0.00714611,0.000344195,-0.005335016,6901,7156,0,530,0.187123892,0.101958627,0,540,0,0,0,0,0,6296,23615,2318,0,0,z,z,36,150,0,0,0,14648,6429,0,0,1330,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.083954998,0.243640672,150040567.1,89.29164361,5.810736027,1.77089098,67.40506329,12.07400195,5.671859786,96.87327061,85.15092502,12.07400195,5.671859786,96.87327061,85.15092502,89.29164361,5.810736027,1.77089098,67.40506329,0.101958627,0.187123892,0.243640672,0.083954998
Enfield,308,Outer London,0.084494215,0.033730226,0.072680545,0.005602673,6090,6374,10,20,0.156699857,0.166523927,0,0,0,0,0,0,0,5555,22845,5910,0,210,z,z,0,0,0,0,920,7016,17772,1365,0,0,z,z,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.119092556,0.053625541,123509042.9,88.67021277,6.515957447,2.04787234,67.5888439,16.55420603,6.230319388,97.23404255,90.37336932,16.55420603,6.230319388,97.23404255,90.37336932,88.67021277,6.515957447,2.04787234,67.5888439,0.166523927,0.156699857,0.053625541,0.119092556
Haringey,309,Inner London,0.044397895,0.007305983,-0.009013746,-0.003530384,2171,2709,0,0,0.170990415,0.079291982,0,0,48,0,0,0,0,7002,16215,210,0,0,1,1,313,0,0,0,0,8091,7953,0,0,0,1,1,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,-0.007193144,0.221331121,43060477.31,89.6831844,6.498781478,1.990251828,67.88461538,13.73076923,6.230769231,98.17221771,87.84615385,13.73076923,6.230769231,98.17221771,87.84615385,89.6831844,6.498781478,1.990251828,67.88461538,0.079291982,0.170990415,0.221331121,-0.007193144
Harrow,310,Outer London,0.041271926,0.000797299,0.049452653,0.005358647,3039,7701,240,240,0.120278473,0.051151596,0,213,0,0,0,0,420,9620,12616,1260,0,0,z,z,0,0,0,0,0,9463,5634,1280,0,0,z,z,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.269451173,0.289181758,130350371,86.73184358,7.472067039,2.479050279,65.60900716,11.77072671,5.834186285,96.68296089,83.21392016,11.77072671,5.834186285,96.68296089,83.21392016,86.73184358,7.472067039,2.479050279,65.60900716,0.051151596,0.120278473,0.289181758,0.269451173
Havering,311,Outer London,0.04030487,-0.008224605,-0.000870788,-0.004755844,6780,1809,60,10,0.092982523,0.13190419,0,300,0,668,0,0,0,4344,20214,180,0,0,1,1,0,450,0,0,0,1924,12374,0,1150,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.287673469,0.003506038,104127290.1,90.40578798,6.134004404,1.415539478,82.21925134,9.29144385,3.07486631,97.95533187,94.5855615,9.29144385,3.07486631,97.95533187,94.5855615,90.40578798,6.134004404,1.415539478,82.21925134,0.13190419,0.092982523,0.003506038,0.287673469
Hillingdon,312,Outer London,0.035115634,0.007289547,0.056979896,0.009430766,8467,4294,10,0,0.181039164,0.128834392,0,225,0,600,0,0,0,4200,24802,3180,0,360,1,1,510,0,0,0,0,9621,10650,4479,0,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.226942022,0.239105997,113788539.5,93.91043146,4.178044784,0.737302021,67.50832408,12.51387347,5.910099889,98.82577826,85.93229745,12.51387347,5.910099889,98.82577826,85.93229745,93.91043146,4.178044784,0.737302021,67.50832408,0.128834392,0.181039164,0.239105997,0.226942022
Hounslow,313,Outer London,0.045127936,0.004118472,0.042922024,0.003518199,6988,6625,0,0,0.140434733,0.079710165,0,0,56,87,150,0,0,7304,15554,1110,0,0,0.488054608,116,40,90,0,0,0,9344,11762,0,0,1260,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.305994236,0.245873219,131527711.1,87.14060032,8.530805687,1.706161137,66.2039831,14.001207,6.185878093,97.37756714,86.3910682,14.001207,6.185878093,97.37756714,86.3910682,87.14060032,8.530805687,1.706161137,66.2039831,0.079710165,0.140434733,0.245873219,0.305994236
Kingston upon Thames,314,Outer London,0.022748022,-0.006390749,-0.000831082,0.001869936,3258,2460,170,80,0.100106938,0.013785117,0,60,0,0,0,0,0,2670,9780,1920,0,0,z,z,170,30,0,0,0,8639,4052,0,0,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.189663003,0.340361049,64889899.27,83.95721925,7.43315508,3.475935829,63.83315734,14.78352693,6.388595565,94.86631016,85.00527983,14.78352693,6.388595565,94.86631016,85.00527983,83.95721925,7.43315508,3.475935829,63.83315734,0.013785117,0.100106938,0.340361049,0.189663003
Merton,315,Outer London,0.05256636,0.012326355,0.038213628,0.001726519,4193,1353,0,0,0.200955932,0.05605662,0,0,0,0,0,0,0,4178,13785,446,0,0,z,z,0,0,0,0,0,6442,3692,0,0,1150,z,z,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.127891459,0.148058561,79031895.14,82.48366013,6.100217865,2.788671024,62.56179775,14.11235955,8.449438202,91.37254902,85.12359551,14.11235955,8.449438202,91.37254902,85.12359551,82.48366013,6.100217865,2.788671024,62.56179775,0.05605662,0.200955932,0.148058561,0.127891459
Newham,316,Inner London,0.083340971,0.02337091,0.044827287,0.031548342,7374,9715,0,0,0.139909802,0.030584317,90,600,210,0,0,0,420,13295,21597,2100,0,420,1,1,810,120,245,0,0,10513,10060,355,0,1140,0.791489362,101,22688.28316,10800.37641,27163.92448,31504.27351,11928.38105,32892.73604,1204,616,70,144,41,12,2913992336,128436,229983215.2,21294,645496337.4,23763,939299914.6,29815,38135034.22,3197,371819488.2,11304,0.190371991,0.371831944,243289795.2,93.0816078,4.701583435,0.803897686,66.29847239,17.08578143,7.168037603,98.58708892,90.55229142,17.08578143,7.168037603,98.58708892,90.55229142,93.0816078,4.701583435,0.803897686,66.29847239,0.030584317,0.139909802,0.371831944,0.190371991
Redbridge,317,Outer London,0.055367193,0.012985692,0.051232724,0.005265023,5407,9726,0,0,0.088215795,0.04709359,0,0,120,64,0,0,0,11940,18252,1410,0,420,1,1,385,77,0,0,0,14425,11529,1170,0,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.253789334,0.242459326,224755458.2,87.55175269,7.121170301,2.014904775,67.39301654,13.96692045,5.959569441,96.68782777,87.31950643,13.96692045,5.959569441,96.68782777,87.31950643,87.55175269,7.121170301,2.014904775,67.39301654,0.04709359,0.088215795,0.242459326,0.253789334
Richmond upon Thames,318,Outer London,0.03363687,0.006504367,0.015283843,-0.001767519,5326,4766,0,130,0.188087939,0.053485154,0,0,28,0,0,0,0,10142,7762,990,0,0,1,1,504,30,0,0,0,4714,6090,1350,0,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.175080312,0.529888856,57547674.86,91.75609756,6.146341463,1.317073171,59.78835979,14.59435626,8.15696649,99.2195122,82.53968254,14.59435626,8.15696649,99.2195122,82.53968254,91.75609756,6.146341463,1.317073171,59.78835979,0.053485154,0.188087939,0.529888856,0.175080312
Sutton,319,Outer London,-0.01171262,-0.011264291,0.025585325,-0.003499879,4692,4789,0,0,0.037276141,0.023292837,0,349,0,240,0,0,0,4882,12154,0,0,0,1,1,100,133,0,0,300,8474,10452,0,1315,975,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.300432384,0.272856821,146874665.9,86.2109375,7.03125,2.0703125,66.27906977,13.48110465,7.558139535,95.3125,87.31831395,13.48110465,7.558139535,95.3125,87.31831395,86.2109375,7.03125,2.0703125,66.27906977,0.023292837,0.037276141,0.272856821,0.300432384
Waltham Forest,320,Outer London,0.087527259,0.029760123,0.057245712,0.024422955,6834,2499,10,0,0.138948117,0.067003855,0,900,210,300,0,0,0,7770,18390,630,420,0,1,1,0,90,0,0,0,1520,13774,1494,0,0,1,1,21427.82299,10200.3555,25654.81756,29754.03609,11265.69321,31065.36182,1204,616,70,144,41,12,2752103873,128436,217206369.9,21294,609635429.8,23763,887116586,29815,36016421.21,3197,351162850,11304,0.190265704,0.185130401,211877853.3,88.94110276,5.827067669,1.848370927,79.4077135,11.19146006,3.82231405,96.61654135,94.4214876,11.19146006,3.82231405,96.61654135,94.4214876,88.94110276,5.827067669,1.848370927,79.4077135,0.067003855,0.138948117,0.185130401,0.190265704
